,name,link,mark,episode or len,type,genre,comments,year
425,Рыцари Зодиака: Утерянный холст — Владыка Преисподней. Глава вторая,https://shikimori.one/animes/z9130-saint-seiya-the-lost-canvas-meiou-shinwa-2,8.1,13,OVA,Экшен,14 комментариев,
426,Сильнейший в истории ученик Кэнъити,https://shikimori.one/animes/1559-shijou-saikyou-no-deshi-kenichi,8.1,50,TV Сериал,Экшен,247 комментариев,С 7 октября 2006 г. по 30 сентября 2007 г.
427,Тамаюра: Заключительная глава — Завтрашний день,https://shikimori.one/animes/29831-tamayura-sotsugyou-shashin-part-4-ashita,8.1,57 мин.,Фильм,Комедия,5 комментариев,
428,Летние войны,https://shikimori.one/animes/5681-summer-wars,8.09,1 час 54 мин.,Фильм,Фантастика,179 комментариев,
429,Йона на заре OVA,https://shikimori.one/animes/30370-akatsuki-no-yona-ova,8.09,3,OVA,Экшен,136 комментариев,
430,Кибер-виток,https://shikimori.one/animes/2164-dennou-coil,8.09,26,TV Сериал,Приключения,61 комментарий,С 12 мая 2007 г. по декабрь 2007 г.
431,Дорохедоро,https://shikimori.one/animes/38668-dorohedoro,8.09,12,TV Сериал,Экшен,1814 комментариев,
432,Детектив Конан: Снайпер из другого измерения,https://shikimori.one/animes/21419-detective-conan-movie-18-the-sniper-from-another-dimension,8.09,1 час 50 мин.,Фильм,Экшен,1 комментарий,
433,Гинтама: Джамп Феста 2005,https://shikimori.one/animes/z2951-gintama-nanigoto-mo-saiyo-ga-kanjin-nano-de-tasho-senobisuru-kurai-ga-choudoyoi,8.09,32 мин.,Спешл,Экшен,8 комментариев,
434,Легенда о героях Галактики: Новый тезис. Межзвёздная война — Часть 2,https://shikimori.one/animes/36370-ginga-eiyuu-densetsu-die-neue-these-seiran-2,8.09,4,Фильм,Экшен,12 комментариев,
435,Наброски Хидамари: Выпускной Саэ и Хиро,https://shikimori.one/animes/17739-hidamari-sketch-sae-hiro-sotsugyou-hen,8.09,2,OVA,Повседневность,3 комментария,
436,"Очень приятно, Бог: Будьте счастливы",https://shikimori.one/animes/z33323-kamisama-hajimemashita-kamisama-shiawase-ni-naru,8.09,12 мин.,OVA,Комедия,86 комментариев,
437,Эврика 7: Псалмы планет,https://shikimori.one/animes/237-koukyoushihen-eureka-seven,8.09,50,TV Сериал,Приключения,283 комментария,С 17 апреля 2005 г. по 2 апреля 2006 г.
438,Конан — мальчик из будущего,https://shikimori.one/animes/302-mirai-shounen-conan,8.09,26,TV Сериал,Приключения,23 комментария,С 4 апреля 1978 г. по 31 октября 1978 г.
439,Моя геройская академия,https://shikimori.one/animes/31964-boku-no-hero-academia,8.08,13,TV Сериал,Экшен,1264 комментария,С 3 апреля 2016 г. по 26 июня 2016 г.
440,Невеста чародея,https://shikimori.one/animes/35062-mahoutsukai-no-yome,8.09,24,TV Сериал,Повседневность,1130 комментариев,С 8 октября 2017 г. по 25 марта 2018 г.
